               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057477,           0.0056626,                   0,             0.64783,             0.49327,             0.53799,             0.27226,            0.046647,           0.0030063,                   0,            0.070008,           0.0033324,           0.0033324
                   1,            0.050398,           0.0036077,                   0,             0.65305,             0.53261,             0.56533,              0.3034,            0.044323,           0.0028152,                   0,            0.039348,           0.0060059,           0.0060059
                   2,              0.0508,           0.0035189,                   0,             0.64072,             0.53167,             0.56042,               0.304,             0.04394,           0.0028202,                   0,           0.0080283,           0.0080193,           0.0080193
                   3,            0.049584,            0.003484,                   0,             0.69102,              0.5352,             0.59299,             0.33489,            0.041708,           0.0027452,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.047807,           0.0033801,                   0,             0.65543,             0.56211,             0.59599,             0.34409,            0.041133,           0.0026946,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.046591,           0.0033437,                   0,             0.65727,             0.56381,             0.60139,             0.35011,            0.040557,            0.002665,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.045258,           0.0033291,                   0,             0.67135,             0.56418,             0.60508,             0.35574,            0.040092,           0.0026533,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.044407,           0.0032775,                   0,             0.67178,             0.56678,             0.60807,             0.35968,            0.039877,           0.0026389,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.043338,           0.0032421,                   0,             0.68113,             0.56729,             0.60879,             0.36171,              0.0397,            0.002627,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.042253,           0.0032254,                   0,             0.68078,             0.56781,             0.61227,             0.36405,            0.039493,           0.0026185,                   0,             0.00208,             0.00208,             0.00208
